"AS OF DATE","PROCESSED DATE","SOURCE NAME 1","SOURCE NAME 2","FUND","MODEL","TYPE","DESCRIPTION","CATEGORY","SHARES","PRICE","TOTAL"
"2024-06-13","2024-06-13","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","27.920000","-0.210"
"2024-09-19","2024-09-23","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2560000000","29.240000","7.500"
"2024-09-13","2024-09-13","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","29.010000","-0.230"
"2024-09-05","2024-09-09","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2620000000","28.650000","7.500"
"2024-08-22","2024-08-26","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2590000000","28.980000","7.500"
"2024-08-13","2024-08-13","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","28.250000","-0.230"
"2024-08-08","2024-08-09","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2670000000","28.130000","7.500"
"2024-11-14","2024-11-18","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2590000000","28.940000","7.500"
"2024-11-15","2024-11-15","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","29.050000","-0.230"
"2024-10-31","2024-11-04","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2600000000","28.840000","7.500"
"2024-10-17","2024-10-21","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2560000000","29.340000","7.500"
"2024-10-11","2024-10-11","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","29.190000","-0.230"
"2024-10-03","2024-10-07","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2560000000","29.260000","7.500"
"2025-01-02","2025-01-02","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0410000000","26.520000","1.100"
"2025-01-02","2025-01-02","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","2.3320000000","26.520000","61.850"
"2025-01-02","2025-01-02","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","1.2280000000","26.520000","32.560"
"2024-12-12","2024-12-16","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2550000000","29.380000","7.500"
"2024-12-10","2024-12-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","29.590000","-0.240"
"2024-11-27","2024-11-29","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2560000000","29.330000","7.500"
"2022-03-24","2022-03-28","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2720000000","29.390000","8.000"
"2022-03-10","2022-03-14","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2780000000","28.750000","8.000"
"2022-02-24","2022-02-28","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2710000000","29.530000","8.000"
"2022-02-16","2022-02-16","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.3320000000","29.800000","9.860"
"2022-02-10","2022-02-14","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2690000000","29.740000","8.000"
"2024-12-26","2024-12-30","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2580000000","29.030000","7.500"
"2022-06-16","2022-06-21","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3040000000","26.350000","8.000"
"2022-06-02","2022-06-06","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2870000000","27.910000","8.000"
"2022-05-19","2022-05-23","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2920000000","27.440000","8.000"
"2022-05-05","2022-05-09","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2900000000","27.620000","8.000"
"2022-04-21","2022-04-25","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2830000000","28.300000","8.000"
"2022-04-07","2022-04-11","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2750000000","29.050000","8.000"
"2022-08-25","2022-08-26","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2880000000","27.810000","8.000"
"2022-08-15","2022-08-15","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","28.250000","-0.030"
"2022-08-11","2022-08-12","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2850000000","28.050000","8.000"
"2022-07-28","2022-07-29","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2880000000","27.780000","8.000"
"2022-07-14","2022-07-18","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2980000000","26.870000","8.000"
"2022-06-30","2022-07-05","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2970000000","26.900000","8.000"
"2022-10-20","2022-10-21","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1580000000","25.310000","4.000"
"2022-10-18","2022-10-18","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","25.490000","-0.030"
"2022-10-06","2022-10-11","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3130000000","25.520000","8.000"
"2022-09-22","2022-09-26","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3110000000","25.750000","8.000"
"2022-09-15","2022-09-15","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","26.840000","-0.030"
"2022-09-08","2022-09-09","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.2970000000","26.950000","8.000"
"2023-01-12","2023-01-17","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1650000000","26.280000","4.330"
"2023-01-13","2023-01-13","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","26.270000","-0.040"
"2023-01-04","2023-01-04","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.1460000000","25.240000","3.690"
"2022-12-30","2022-12-30","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.1370000000","25.240000","3.470"
"2022-12-14","2022-12-14","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","27.370000","-0.040"
"2022-11-15","2022-11-15","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","26.700000","-0.040"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-1.9880000000","26.830000","-53.320"
"2023-03-09","2023-03-13","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1680000000","25.780000","4.330"
"2023-02-24","2023-02-24","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1660000000","26.080000","4.330"
"2023-02-14","2023-02-14","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","26.480000","-0.040"
"2023-02-09","2023-02-10","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1640000000","26.400000","4.330"
"2023-01-26","2023-01-27","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1630000000","26.550000","4.330"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.9170000000","26.830000","-24.600"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.6120000000","26.830000","-16.420"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-2.1410000000","26.830000","-57.450"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-3.0580000000","26.830000","-82.030"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.9170000000","26.830000","-24.620"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-2.1410000000","26.830000","-57.450"
"2023-05-04","2023-05-05","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1630000000","26.610000","4.330"
"2023-05-30","2023-05-30","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","31.1920000000","26.510000","826.910"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.6120000000","26.830000","-16.420"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.9170000000","26.830000","-24.600"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.9170000000","26.830000","-24.620"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-1.0700000000","26.830000","-28.710"
"2023-04-13","2023-04-13","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","26.620000","-0.040"
"2023-04-06","2023-04-10","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1620000000","26.670000","4.330"
"2023-03-23","2023-03-27","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1650000000","26.220000","4.330"
"2023-03-15","2023-03-15","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","25.920000","-0.040"
"2023-05-18","2023-05-19","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1620000000","26.660000","4.330"
"2023-05-12","2023-05-12","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","26.740000","-0.050"
"2025-02-12","2025-02-12","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0290000000","13.330000","-0.390"
"2023-06-15","2023-06-16","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1590000000","27.200000","4.330"
"2023-06-29","2023-06-30","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.4810000000","26.980000","12.990"
"2023-06-01","2023-06-02","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.8110000000","26.700000","21.650"
"2023-06-12","2023-06-12","EMPLOYEE 401(k)","","VTWNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0100000000","26.860000","-0.280"
"2023-04-20","2023-04-21","EMPLOYEE 401(k)","","VTWNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.1630000000","26.630000","4.330"
"2023-06-30","2023-06-30","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.8580000000","12.800000","10.980"
"2023-06-15","2023-06-16","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","1.0060000000","12.910000","12.990"
"2025-01-09","2025-01-13","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3850000000","12.990000","5.000"
"2025-01-14","2025-01-14","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0290000000","12.980000","-0.380"
"2025-01-23","2025-01-24","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3780000000","13.240000","5.000"
"2025-02-06","2025-02-10","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3760000000","13.310000","5.000"
"2023-04-06","2023-04-10","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3390000000","12.770000","4.330"
"2023-04-13","2023-04-13","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0030000000","12.740000","-0.040"
"2023-04-20","2023-04-21","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3400000000","12.720000","4.330"
"2023-06-12","2023-06-12","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0390000000","12.790000","-0.500"
"2023-06-01","2023-06-02","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","3.0570000000","12.750000","38.970"
"2023-06-29","2023-06-30","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6790000000","12.750000","8.660"
"2023-05-04","2023-05-05","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3400000000","12.750000","4.330"
"2023-05-12","2023-05-12","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0040000000","12.800000","-0.050"
"2023-05-18","2023-05-19","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3400000000","12.720000","4.330"
"2023-03-15","2023-03-15","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0030000000","12.490000","-0.040"
"2023-03-23","2023-03-27","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3420000000","12.650000","4.330"
"2023-03-30","2023-03-30","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0540000000","12.550000","0.670"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-22.1330000000","12.670000","-280.430"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-6.6400000000","12.670000","-84.130"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-15.4930000000","12.670000","-196.300"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-14.3860000000","12.670000","-182.280"
"2023-05-30","2023-05-30","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","114.1750000000","12.650000","1444.310"
"2023-05-30","2023-05-30","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","16.2210000000","12.650000","205.200"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-4.4270000000","12.670000","-56.090"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-6.6400000000","12.670000","-84.130"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-6.6400000000","12.670000","-84.130"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-7.7470000000","12.670000","-98.160"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-6.6400000000","12.670000","-84.130"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-4.4270000000","12.670000","-56.090"
"2023-02-09","2023-02-10","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3420000000","12.660000","4.330"
"2023-02-14","2023-02-14","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0030000000","12.680000","-0.040"
"2023-02-24","2023-02-24","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3460000000","12.520000","4.330"
"2023-03-09","2023-03-13","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3480000000","12.440000","4.330"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-15.4940000000","12.670000","-196.310"
"2023-07-10","2023-07-10","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-5.9320000000","12.670000","-75.160"
"2022-12-14","2022-12-14","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0030000000","12.760000","-0.040"
"2023-01-04","2023-01-04","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0460000000","12.200000","0.560"
"2023-01-04","2023-01-04","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.1610000000","12.200000","1.960"
"2023-01-13","2023-01-13","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0030000000","12.630000","-0.040"
"2023-01-12","2023-01-17","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3430000000","12.630000","4.330"
"2023-01-26","2023-01-27","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3400000000","12.730000","4.330"
"2022-09-22","2022-09-26","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6550000000","12.220000","8.000"
"2022-09-29","2022-09-29","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0580000000","11.980000","0.700"
"2022-10-06","2022-10-11","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6640000000","12.050000","8.000"
"2022-10-18","2022-10-18","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","12.020000","-0.030"
"2022-10-20","2022-10-21","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.3350000000","11.930000","4.000"
"2022-11-15","2022-11-15","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","12.460000","-0.030"
"2022-07-28","2022-07-29","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6120000000","13.080000","8.000"
"2022-08-11","2022-08-12","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6090000000","13.130000","8.000"
"2022-08-15","2022-08-15","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","13.200000","-0.030"
"2022-08-25","2022-08-26","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6140000000","13.030000","8.000"
"2022-09-08","2022-09-09","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6310000000","12.680000","8.000"
"2022-09-15","2022-09-15","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","12.640000","-0.030"
"2022-06-16","2022-06-21","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6360000000","12.570000","8.000"
"2022-06-14","2022-06-14","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","12.600000","-0.020"
"2022-06-30","2022-07-05","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6280000000","12.730000","8.000"
"2022-06-30","2022-06-30","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0410000000","12.630000","0.520"
"2022-07-15","2022-07-15","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","12.630000","-0.020"
"2022-07-14","2022-07-18","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6290000000","12.710000","8.000"
"2022-04-07","2022-04-11","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.5900000000","13.550000","8.000"
"2022-04-21","2022-04-25","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6030000000","13.270000","8.000"
"2022-05-05","2022-05-09","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6140000000","13.020000","8.000"
"2022-05-13","2022-05-13","EMPLOYEE 401(k)","","VTINX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","12.940000","-0.020"
"2022-05-19","2022-05-23","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6150000000","13.010000","8.000"
"2022-06-02","2022-06-06","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.6080000000","13.150000","8.000"
"2022-02-10","2022-02-14","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.5740000000","13.930000","8.000"
"2022-02-16","2022-02-16","EMPLOYEE 401(k)","","VTINX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.7060000000","13.930000","9.830"
